id,Name,Author,User Rating,Reviews,Price,Year,Genre,gb_categories,gb_avgRating,gb_ratingsCount,gb_publisher,gb_publishedDate,gb_pageCount,gb_language
151,Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,Juvenile Nonfiction,4.0,47.0,Scholastic Inc.,2019-09-17,227.0,en
152,Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction,Performing Arts,5.0,1.0,Hachette UK,2016-10-06,290.0,en
153,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,Biography & Autobiography,5.0,2.0,Simon and Schuster,2013-05-07,198.0,en
154,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,,,,,,,
155,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973,12,2016,Fiction,,,,,,,
156,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction,,,,,,,
157,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,,,,,,,
158,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,,,,,,,
159,Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,,2.0,3.0,Createspace Independent Publishing Platform,2017-07-05,250.0,en
160,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,,,,,2023-05-02,0.0,en
161,Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,Non Fiction,Religion,,,Hachette UK,2011-06-14,209.0,en
162,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,Religion,4.0,766.0,Thomas Nelson,2011-10-31,206.0,en
163,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,Religion,4.0,766.0,Thomas Nelson,2011-10-31,206.0,en
164,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,History,4.5,3.0,HarperCollins,2018-05-01,270.0,en
165,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,History,4.5,3.0,HarperCollins,2018-05-01,270.0,en
166,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Non Fiction,House & Home,,,HarperCollins,2018-11-06,525.0,en
167,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Non Fiction,Self-Help,,,e-artnow,2017-10-16,251.0,en
